id	municipality	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name			
0901162150	Preston town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900962290	Prospect town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0901562710	Putnam town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900163480	Redding town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900163970	Ridgefield town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900365370	Rocky Hill town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900565930	Roxbury town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901166210	Salem town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900566420	Salisbury town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901567400	Scotland town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900967610	Seymour town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0900567960	Sharon town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900168170	Shelton town	CT04	CT	04	Naugatuck Valley Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900168310	Sherman town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900368940	Simsbury town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901369220	Somers town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900371390	South Windsor town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900969640	Southbury town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0900370550	Southington town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901171670	Sprague town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0901372090	Stafford town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900173070	Stamford town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0901573420	Sterling town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
