id	county	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name
06081	San Mateo County	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA
06083	Santa Barbara County	CA16	CA	16	Santa Barbara County Association of Governments	CA16	Santa Maria-Santa Barbara, CA
06085	Santa Clara County	CA01	CA	01	Association of Bay Area Governments	CA01	San Jose-Sunnyvale-Santa Clara, CA
06087	Santa Cruz County	CA02	CA	02	Association of Monterey Bay Area Governments	CA02	Santa Cruz-Watsonville, CA
06089	Shasta County	CA18	CA	18	Superior California Economic Development	CA18	Redding, CA
06095	Solano County	CA01	CA	01	Association of Bay Area Governments	CA01	Vallejo-Fairfield, CA
06097	Sonoma County	CA01	CA	01	Association of Bay Area Governments	CA01	Santa Rosa, CA
06099	Stanislaus County	CA09	CA	09	Stanislaus Council of Governments	CA09	Modesto, CA
06101	Sutter County	CA13	CA	13	Sacremento Area Council of Governments	CA13	Yuba City, CA
06107	Tulare County	CA10	CA	10	Tulare Association of Governments	CA10	Visalia-Porterville, CA
06111	Ventura County	CA15	CA	15	Southern California Association of Governments	CA15	Oxnard-Thousand Oaks-Ventura, CA
06115	Yuba County	CA13	CA	13	Sacremento Area Council of Governments	CA13	Yuba City, CA
08001	Adams County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO
08005	Arapahoe County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO
08013	Boulder County	CO01	CO	01	Denver Regional Council of Government	CO01	Boulder, CO
08014	Broomfield, City and County of	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO
08019	Clear Creek County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO
08031	Denver, City and County of	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO
08035	Douglas County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO
08039	Elbert County	CO04	CO	04	East Central Council of Governments	CO01	Denver-Aurora-Lakewood, CO
08041	El Paso County	CO02	CO	02	Pikes Peak Area Council of Governments	CO02	Colorado Springs, CO
08047	Gilpin County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO
08059	Jefferson County	CO01	CO	01	Denver Regional Council of Government	CO01	Denver-Aurora-Lakewood, CO
08069	Larimer County	CO50	CO	50	North Front Range MPO	CO50	Fort Collins, CO
08077	Mesa County	CO08	CO	08	Associated Governments of Northwest Colarado	CO08	Grand Junction, CO
08093	Park County	CO02	CO	02	Pikes Peak Area Council of Governments	CO01	Denver-Aurora-Lakewood, CO
08101	Pueblo County	CO10	CO	10	Southern Colarado Economic Development District	CO10	Pueblo, CO
08119	Teller County	CO02	CO	02	Pikes Peak Area Council of Governments	CO02	Colorado Springs, CO
08123	Weld County	CO50	CO	50	North Front Range MPO	CO50	Greeley, CO
10001	Kent County	DE51	DE	51	Dover / Kent County MPO	DE51	Dover, DE
10003	New Castle	DE50	DE	50	Wilmington Area Planning Council  DE01 MD02	PA01	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
10005	Sussex County	DE99	DE	99	Salisbury-Wicomico MPO DE03 MD04	MD05	Salisbury, MD-DE
11001	District of Columbia	DC01	DC	01	Metropolitan Washington Council of Governments	DC01	Washington-Arlington-Alexandria, DC-VA-MD-WV
12001	Alachua County	FL09	FL	09	North Central Florida Regional Planning Council	FL09	Gainesville, FL
12003	Baker County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL
12005	Bay County	FL07	FL	07	West Florida Regional Planning Council	FL07	Panama City, FL
12009	Brevard County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Palm Bay-Melbourne-Titusville, FL
12011	Broward County	FL03	FL	03	South Florida Regional Council	FL03	Miami-Fort Lauderdale-West Palm Beach, FL
12015	Charlotte County	FL04	FL	04	South West Florida Regional Plannning Commission	FL04	Punta Gorda, FL
12017	Citrus County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Homosassa Springs, FL
12019	Clay County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL
12021	Collier County	FL04	FL	04	South West Florida Regional Plannning Commission	FL04	Naples-Immokalee-Marco Island, FL
12031	Duval County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL
12033	Escambia County	FL07	FL	07	West Florida Regional Planning Council	FL07	Pensacola-Ferry Pass-Brent, FL
12035	Flagler County	FL02	FL	02	Northeast Florida Regional Council	FL01	Deltona-Daytona Beach-Ormond Beach, FL
12039	Gadsden County	FL08	FL	08	Apalachee Regional Planning Council	FL08	Tallahassee, FL
12041	Gilchrist County	FL09	FL	09	North Central Florida Regional Planning Council	FL09	Gainesville, FL
12045	Gulf County	FL08	FL	08	Apalachee Regional Planning Council	FL07	Panama City, FL
12053	Hernando County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Tampa-St. Petersburg-Clearwater, FL
12055	Highlands County	FL10	FL	10	Central Florida Regional Planning Commission	FL10	Sebring, FL
12057	Hillsborough County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Tampa-St. Petersburg-Clearwater, FL
12061	Indian River County	FL06	FL	06	Treasure Coast Regional Planning Council (Palm Beach)	FL06	Sebastian-Vero Beach, FL
12065	Jefferson County	FL08	FL	08	Apalachee Regional Planning Council	FL08	Tallahassee, FL
12069	Lake County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Orlando-Kissimmee-Sanford, FL
12071	Lee County	FL04	FL	04	South West Florida Regional Plannning Commission	FL04	Cape Coral-Fort Myers, FL
12073	Leon County	FL08	FL	08	Apalachee Regional Planning Council	FL08	Tallahassee, FL
12081	Manatee County	FL05	FL	05	Tampa Bay Regional Planning Council	FL04	North Port-Sarasota-Bradenton, FL
12083	Marion County	FL09	FL	09	North Central Florida Regional Planning Council	FL09	Ocala, FL
12085	Martin County	FL06	FL	06	Treasure Coast Regional Planning Council (Palm Beach)	FL06	Port St. Lucie, FL
12086	Miami-Dade County	FL03	FL	03	South Florida Regional Council	FL03	Miami-Fort Lauderdale-West Palm Beach, FL
12089	Nassau County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL
12091	Okaloosa County	FL07	FL	07	West Florida Regional Planning Council	FL07	Crestview-Fort Walton Beach-Destin, FL
12095	Orange County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Orlando-Kissimmee-Sanford, FL
12097	Osceola County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Orlando-Kissimmee-Sanford, FL
12099	Palm Beach County	FL06	FL	06	Treasure Coast Regional Planning Council (Palm Beach)	FL03	Miami-Fort Lauderdale-West Palm Beach, FL
12101	Pasco County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Tampa-St. Petersburg-Clearwater, FL
12103	Pinellas County	FL05	FL	05	Tampa Bay Regional Planning Council	FL05	Tampa-St. Petersburg-Clearwater, FL
12105	Polk County	FL10	FL	10	Central Florida Regional Planning Commission	FL10	Lakeland-Winter Haven, FL
12109	St. Johns County	FL02	FL	02	Northeast Florida Regional Council	FL02	Jacksonville, FL
12111	St. Lucie County	FL06	FL	06	Treasure Coast Regional Planning Council (Palm Beach)	FL06	Port St. Lucie, FL
12113	Santa Rosa County	FL07	FL	07	West Florida Regional Planning Council	FL07	Pensacola-Ferry Pass-Brent, FL
12115	Sarasota County	FL04	FL	04	South West Florida Regional Plannning Commission	FL04	North Port-Sarasota-Bradenton, FL
12117	Seminole County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Orlando-Kissimmee-Sanford, FL
12119	Sumter County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	The Villages, FL
12127	Volusia County	FL01	FL	01	East Central Florida Regional Planning Council	FL01	Deltona-Daytona Beach-Ormond Beach, FL
12129	Wakulla County	FL08	FL	08	Apalachee Regional Planning Council	FL08	Tallahassee, FL
12131	Walton County	FL07	FL	07	West Florida Regional Planning Council	FL07	Crestview-Fort Walton Beach-Destin, FL
13007	Baker County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA
13013	Barrow County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13015	Bartow County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13025	Brantley County	GA11	GA	11	Southern Georgia Regional Commission	GA12	Brunswick, GA
13027	Brooks County	GA11	GA	11	Southern Georgia Regional Commission	GA11	Valdosta, GA
13029	Bryan County	GA12	GA	12	Coastal Regional Commission	GA12	Savannah, GA
13033	Burke County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC
13035	Butts County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13045	Carroll County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13047	Catoosa County	GA02	GA	02	Northwest Georgia Regional Planning Commission	TN08	Chattanooga, TN-GA
13051	Chatham County	GA12	GA	12	Coastal Regional Commission	GA12	Savannah, GA
13053	Chattahoochee County	GA09	GA	09	River Valley Regional Commission	GA09	Columbus, GA-AL
13057	Cherokee County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13059	Clarke County	GA06	GA	06	Northeast Georgia Regional Commission	GA06	Athens-Clarke County, GA
13063	Clayton County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13067	Cobb County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13073	Columbia County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC
13077	Coweta County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13083	Dade County	GA02	GA	02	Northwest Georgia Regional Planning Commission	TN08	Chattanooga, TN-GA
13085	Dawson County	GA03	GA	03	Georgia Mountains Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13089	DeKalb County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13095	Dougherty County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA
13097	Douglas County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13101	Echols County	GA11	GA	11	Southern Georgia Regional Commission	GA11	Valdosta, GA
13103	Effingham County	GA12	GA	12	Coastal Regional Commission	GA12	Savannah, GA
13113	Fayette County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13115	Floyd County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA02	Rome, GA
13117	Forsyth County	GA03	GA	03	Georgia Mountains Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13121	Fulton County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13127	Glynn County	GA12	GA	12	Coastal Regional Commission	GA12	Brunswick, GA
13135	Gwinnett County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13139	Hall County	GA03	GA	03	Georgia Mountains Regional Commission	GA03	Gainesville, GA
13143	Haralson County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13145	Harris County	GA09	GA	09	River Valley Regional Commission	GA09	Columbus, GA-AL
13149	Heard County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13151	Henry County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13153	Houston County	GA07	GA	07	Middle Georgia Planning Commission	GA07	Warner Robins, GA
13159	Jasper County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13171	Lamar County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13173	Lanier County	GA11	GA	11	Southern Georgia Regional Commission	GA11	Valdosta, GA
13177	Lee County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA
13179	Liberty County	GA12	GA	12	Coastal Regional Commission	GA12	Hinesville, GA
13181	Lincoln County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC
13183	Long County	GA12	GA	12	Coastal Regional Commission	GA12	Hinesville, GA
13185	Lowndes County	GA11	GA	11	Southern Georgia Regional Commission	GA11	Valdosta, GA
13189	McDuffie County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC
13191	McIntosh County	GA12	GA	12	Coastal Regional Commission	GA12	Brunswick, GA
13195	Madison County	GA06	GA	06	Northeast Georgia Regional Commission	GA06	Athens-Clarke County, GA
13197	Marion County	GA09	GA	09	River Valley Regional Commission	GA09	Columbus, GA-AL
13199	Meriwether County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13211	Morgan County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13213	Murray County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA02	Dalton, GA
13215	Muscogee County	GA09	GA	09	River Valley Regional Commission	GA09	Columbus, GA-AL
13217	Newton County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13219	Oconee County	GA06	GA	06	Northeast Georgia Regional Commission	GA06	Athens-Clarke County, GA
13221	Oglethorpe County	GA06	GA	06	Northeast Georgia Regional Commission	GA06	Athens-Clarke County, GA
13223	Paulding County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
